Nested Sampling Global Log-Evidence           :   -0.400287743995886217E+03  +/-    0.789742811598138222E-01
Nested Importance Sampling Global Log-Evidence:   -0.400121328922316138E+03  +/-    0.615968231358572163E-01

Dim No.       Mean        Sigma
   1    0.332135589293221045E+02    0.117250789067085387E+00
   2    0.504830696840580639E+01    0.952258716128948912E-01
   3    0.716847242773892557E+00    0.385268902787881326E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.332086968316537252E+02
   2    0.505262574460764569E+01
   3    0.712822242303336906E+00

MAP Parameters
Dim No.        Parameter
   1    0.332086968316537252E+02
   2    0.505262574460764569E+01
   3    0.712822242303336906E+00
