Nested Sampling Global Log-Evidence           :   -0.447449900275512164E+03  +/-    0.136279734578321460E+00
Nested Importance Sampling Global Log-Evidence:   -0.447535309368467722E+03  +/-    0.164296891191839621E-01

Dim No.       Mean        Sigma
   1    0.334822813052489536E+02    0.104760528009524484E+00
   2    0.482598451558295061E+01    0.849652646748562251E-01
   3    0.776790117634229005E+00    0.390533683762792974E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.334805849358539831E+02
   2    0.482633460350612875E+01
   3    0.775101184020848377E+00

MAP Parameters
Dim No.        Parameter
   1    0.334805849358539831E+02
   2    0.482633460350612875E+01
   3    0.775101184020848377E+00
