Nested Sampling Global Log-Evidence           :   -0.266289638985265753E+03  +/-    0.826070113519798560E-01
Nested Importance Sampling Global Log-Evidence:   -0.266503378362681133E+03  +/-    0.994352849595135646E-02

Dim No.       Mean        Sigma
   1    0.332923431283656583E+02    0.159355719320143002E+00
   2    0.502797583934864267E+01    0.131636196361193503E+00
   3    0.680193853463779585E+00    0.424395179695442812E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.333037355338953347E+02
   2    0.501729338217401022E+01
   3    0.681750429391789536E+00

MAP Parameters
Dim No.        Parameter
   1    0.333037355338953347E+02
   2    0.501729338217401022E+01
   3    0.681750429391789536E+00
